method value       integration value
 -0.00000              -0.00000
 -0.00000              -0.00000
 -0.00000              -0.00000
  0.00000              -0.00000
 -0.00000              -0.00000
  1.00000               1.00000
  1.00000               1.00000
  1.00000               1.00000
  1.00000               1.00000
  1.00000               1.00000
 -1.86621              -1.86603
 -1.86603              -1.86603
 -1.86603              -1.86603
 -1.86603              -1.86603
 -1.86603              -1.86603
