method value       integration value
  2.00011               2.00000
  2.00000               2.00000
  2.00000               2.00000
  2.00000               2.00000
  2.00000               2.00000
  1.00000               1.00000
  1.00000               1.00000
  1.00000               1.00000
  1.00000               1.00000
  1.00000               1.00000
  0.50005               0.50000
  0.50000               0.50000
  0.50000               0.50000
  0.50000               0.50000
  0.50000               0.50000
