method value       integration value
 -0.00000              -0.00000
 -0.00000              -0.00000
  0.00000              -0.00000
 -0.00000              -0.00000
 -0.00000              -0.00000
  0.99794               1.00000
  0.99992               1.00000
  0.99998               1.00000
  1.00000               1.00000
  1.00000               1.00000
 -1.84509              -1.86603
 -1.86519              -1.86603
 -1.86582              -1.86603
 -1.86602              -1.86603
 -1.86582              -1.86603
