method value       integration value
  1.98352               2.00000
  1.99934               2.00000
  1.99984               2.00000
  1.99999               2.00000
  2.00000               2.00000
  0.99794               1.00000
  0.99992               1.00000
  0.99998               1.00000
  1.00000               1.00000
  1.00000               1.00000
  0.49439               0.50000
  0.49978               0.50000
  0.49994               0.50000
  0.50000               0.50000
  0.49994               0.50000
